File name,contents,tokens
learning walks_main.docx part1,"Tired of kids whining during their walks? Feeling like you don't have enough time in the day to fit both fun and education in?THE LEARNINGWALKSLooking for a way to make your walks fun, educational, and enjoyable for both you and your little humans?Then congrats! These walks are filled with fun, inspiration and specific ideas to make your time more enjoyable and help you both challenge yourselves!A few notes for parentsWelcome!In the busy world we live in, many have a hard time fitting our own lives, chores, quality time with kids, and some education in. I’ve tried life on both sides of the fence: as a working mom, and as a stay-at-home mom as well. Many believe that as a stay-at-home parent one has much more time to spend with the little humans, and even though it is true to an extent, in most cases it comes with other responsibilities, and fitting everything in is a huge challenge. I designed The Learning Walks as an answer to both of these problems. Through taking my approach, you will be able to fit quality time, fun, and learning into your time with your little ones. Some of these walks require a short prep, some can be done without it. The structureMost walks have a similar structure, including a prep for the walk or a short brief for parents; a check list; the walk itself with guidance what to look for and how you can explain it to your kids; fun facts ; interesting stories; additional ideas & games revolving around the theme; some walks have an experiment; and Imaginarium that helps your kids get their creative juices flowing and work on their imagination and creative thinking.Additional guidanceTry to show and surprise your kids rather than explain and lecture, at this age this helps them focus and lengthens their attention spanPlaying is the natural way of learning in toddlers and preschoolers",388
learning walks_main.docx part2," The areas of their brain responsible for assiduity, willpower and longer attention spans aren’t developed yet, so trying to have them sit and learn is counter-productive, and in the worst cases can even deter your kids from willingly engaging in educational activities later on, so relax, play, and have all the fun while encouraging them to learn something new and expanding their interests!Most of the walks have multiple interesting facts, phenomena and experiments. Try to focus on just a few at a time, as long as you see it keeps your child interested. The point is not to squeeze in as much knowledge as possible, but to light up the interest and curiosity. We don’t want our walk to become a boring lecture on physics, chemistry, or biology, so focus on a few explanations or experiments at a time and save a couple more for another walk. As for interesting observations and fun facts, you can just point them out without further explanation to sow a seed for the future!I’ve tried these activities and games with kids of different ages, and most of them are appropriate on the average for kids anywhere between ages 3 and 7. However, do keep in mind that development levels and attention spans are very different at that age, so if your child seems bored and uninterested, try to pick a few facts and activities that you believe would resonate the most with their current interests and mood, and keep the rest for future use. Simultaneously if you think that your child would be interested in some of the fun facts meant for older kids or parents, feel free to share and see how they react! There are some facts that would be easier to grasp for older kids, and I added a note to those to clarify. Many walks have an experiment ",357
learning walks_main.docx part3," Experiments like these awaken inquisitiveness in children, and even though they don’t understand the actual reason behind some phenomena, they become more and more curious about the world, and you bring up lifelong learners. Material is based on a number of different approaches and theories, including the Theory of Inventive Thinking , Theory of Constraints , Systemic Thinking, and much more. Some of the approaches that I offer in the Imaginarium section were borrowed from TRIZ and other methodology  and you can easily apply them to explain other concepts and discuss different ideas. If you have any comments regarding age appropriateness, program structure, or walks in general, as well as any additional ideas for games, experiments, or themes – shoot me an email at  . I genuinely appreciate your feedback and comments as well!________________Legal DisclaimerThe information in this document is intended solely for the personal noncommercial use of the user who assumes full responsibility for its use.© 2019-2020 Nadiya Stapinski All rights reservedNo part of this document can be reproduced or distributed to any third party without a written consent from the author.“Created by Nature or Humans?” Walk 1            Let’s Have Some Fun!Brief for parents: During this walk we are interested in anything and everything. If you think about it, every object that surrounds us can be placed into two categories: created by nature or designed by humans",302
learning walks_main.docx part4," So prepare your child before the walk by suggesting them to notice as many objects around you as possible, even better yet to find things you didn’t notice before on your walks, e.g., a bird’s feather, grass pushing through a hole in the road.Let’s begin!In the very beginning of your walk or as you are getting ready, tell your little one about different objects around us and mention that all of them were either created by nature – or are manmade. For instance, sun in the sky, clouds, trees, grass, rain, birds, squirrels  were created by natural forces, while your home, clothes, mini scooter they are riding – were all manmade. If you have one, bring a magnifying glass – kids love playing “detective”!During your walk, ask your child to say who created?… a staircase on your way, rocks, flowers, slides at the playground and so on – nature or humans? It will be more fun if you come up with some ideas that would be more challenging to decide upon. For example:if you have a sandbox around, make some shapes out of sand  and deliberate whether it was made by nature or humansIf your child just responds with a simple answer , try to encourage the dialogue by asking why they think so. With older kids you can argue for a bit saying for example: “I disagree! I think this castle was created by nature because sand comes from nature!” or “How about 50/50?” If done right, this way you are teaching them critical thinking skills, and helping them learn how to participate in an argument while staying calm and friendly – win-win!If you have some flowers in your backyard or some wild flowers close by, or access to a farm with flower picking, make a small bouquet and deliberate whether it was manmade or nature made",392
learning walks_main.docx part5," You can also use this opportunity to show your kids how to cut flowers, tell them that if a plant’s roots are pulled out, it will likely die.During fall, collect some fall leaves and “treasures” such as pine cones etc. and make a little project at home, another great reason to deliberate about the subject! More ideas:Get a child-friendly camera  and give it to your little one. Let them take photos of the fun objects you talk about, then you can make a collage of those photos, or categorize them into the two groups When you get home, you can come up with riddles. You can create a few for the other parent, and if your child likes the idea, they will continue the game with you! E.g.:It’s colorful and beautiful, it’s half created by nature, and half by people, it smells amazing and mommy really likes when you get those for her!Another fun thinking game is choosing a manmade object and finding equivalent things in nature or vice versa. E",221
learning walks_main.docx part6,"g., a chair was designed by people, but rocks, tree trunks, and just ground are natural things that can be used for the same purpose – sitting on.Encourage your child to use the magnifying glass on your walk, and with the “treasures” you collect to see those up close! Ask questions about the color, texture, smell of those objects to encourage sensory and language development!See some more ideas to play with the objects you’ve collected at home and discuss whether the final results are made by nature or humans - in this case you ;) Fun FactsTalk about nature-inspired inventions. Explain to your child that Nature has created way more objects than humans, and many of our ideas were borrowed from nature, then share some examples:Flight and airplanes: Inventors studied the flight of birds with a desire to fly like them and travel long distances over oceans, mountains, plains and deserts. For older kids: In Great Britain, Stringfellow had built a small unmanned glider in 1848. Later on, it was the gliding flight of albatross, a sea bird, which inspired the inventors in 1856 to design a glider. Later on in 1903, the Wright Brothers were propelled to design the first-ever powered airplane, Kitty Hawk. Today, with advanced technologies, we see aircrafts of all kinds up in the sky flying and appearing like birds",286
learning walks_main.docx part7,"Suction cups: suction cups are nearly magical tools that can be used to attach to or tightly grip flat surfaces and they are used to stick some of your bath toys to the bath walls! They were likely inspired by octopus suckers that allow octopus to attach to uneven surface For older kids: Using principles of vacuum and pressure, they can be used to stick objects to walls or even scale tall buildings.Octopus suckers are actually a much more advanced version of the human-made kind, with tiny concentric grooves on the edges of every sucker allowing them to grasp uneven surfaces even underwaterVelcro: you can find it right on your shoes  and it was inspired by the burdock plant when parts of the plant stuck to his dog’s hairFor older kids: In 1941, the Swiss engineer George de Mestral looked at the burrs under a microscope and noticed they contained hundreds of tiny hooks that could catch on loops of hair or clothing. He developed a material based on this and called it Velcro, from the French words ""velours” that means velvet, and ""crochet” that stands for hook.Fast speed trains: scientists studied birds and invented bullet trains which have beak-like front fashioned like that of the kingfisher. They observed that the beaked front in birds helps them minimize air pressure when they fly or plunge into water, just like the kingfisher. Taking this idea, inventors designed modern trains with a beak-like pointed front design to reduce air pressure and noise during traveling. This approach has been used for airplanes that fly at higher altitudes.Medical tape: this is material that doctors use to help sick people after surgeries feel better",348
learning walks_main.docx part8," It is based on spider silk, one of the strongest materials in nature, estimated to be five times stronger than steel by weight, yet also flexible and lightweight! Spiders can spin silk that is either sticky, to catch prey, or non-sticky, so that they can use it for pathways.For older kids: Scientists recently developed this tape and it is used for attaching tubes or sensors to the delicate skin of newborns babies and the elderly people because, just as spider’s silk, it can be peeled off a wound without damaging the tissue underneath. Fun Fact for ParentsThe name of science that looks into the life’s best scientist, or nature, for inspiration, has a name – biomimicry. Instead of consuming nature's resources, biomimicry looks to the natural world for innovation inspiration, resulting in high-tech analogs of natural materials and designs.ImaginariumLet your imagination roam free talking about this  idea: What if we learned to create animals, plants, even other people ? What would change in the world?E.g., we won’t have to grow plants any more or need fields, people could just get the plants from a factory, more people will be able to get healthy food, but it means we’ll need to build more factories.We could create the pets we want that never existed in nature – for example a puppy that purrs like a kitty and repeats words after you like a parrot!We could create fruits and veggies that taste like different foods, for example broccoli with chocolate flavor!This future could be scary because the effects of this science are unknown…Make sure that both of you have a chance to talk, contribute to the conversation, learn, and have fun!“Shadows” Walk 2            Before the walk: Before you head out, ask your child what he or she thinks shadow is, where it comes from? Make sure to note particularly interesting answers in your special notebook",418
learning walks_main.docx part9," It will be fun to re-visit in a year or two, and just fun to look back at eventually!Let’s begin!Let’s start with looking at our own shadow! Ask your kid where their shadow is. In front, behind, on the side? See  where the sun is.Shadow is a dark shape that appears on a surface when someone or something is between the surface and a source of light .For older kids: For a shadow to be formed an object must block light. The object must be opaque or translucent to make a shadow. A transparent object will not make any shadow, as light passes straight through transparent objectsIn a sunny spot  have your little one spread their arms out and use chalk to draw around the shadow. Also trace your child’s shoes with sidewalk chalk. You can use different colors to paint the shadow ",180
learning walks_main.docx part10," For older kids, you can ask for their help to draw around your shadow as well. Come back throughout the day, and ask your child if he thinks the shadow will move, and if so, how? Will it be longer? Shorter? Wider? In the same place? After your walk, come back to the same spot, ask your child to put his feet in the chalk outline feet, and trace the shadow again. Did it get bigger or smaller?Did the position of the shadow against the sun change if you are standing in the same position? Can you face towards the sun and see your shadow? During the walk, look for shadows that “belong” to different objects on your way, e.g. cars, fence, tree, bush, swing. You can use a camera or your phone to take photos of the shadows and then play a guessing game – what object the shadow comes from?Do the objects always have a shadow? Walk into a building and ask your kid where the shadow went. Again, make sure to write down the most interesting answers!Another game: You stand behind your child with your arm extended, holding an object. The task is for the child to guess the object by its shadow!Bring small lego pieces or animal figures  and a piece of paper",266
